departement;cp;commune;nb_redevables;patrimoine_moyen;impot_moyen
CHARENTE-MARITIME             ;17300;LA ROCHELLE                                       ;519;2426944;9417
NORD                          ;59122;CAMBRAI                                           ;148;2426496;8510
ILLE-ET-VILAINE               ;35288;SAINT MALO                                        ;391;2425198;9297
PAS-DE-CALAIS                 ;62498;LENS                                              ;55;2423289;9890
YVELINES                      ;78517;RAMBOUILLET                                       ;207;2422890;9575
PARIS                         ;75111;PARIS                                             ;1947;2420194;10012
DOUBS                         ;25056;BESANCON                                          ;347;2420087;9107
MAINE-ET-LOIRE                ;49099;CHOLET                                            ;187;2419804;8432
VAL-D'OISE                    ;95555;ST GRATIEN                                        ;111;2418296;8355
SEINE-SAINT-DENIS             ;93077;VILLEMOMBLE                                       ;175;2418151;8882
HERAULT                       ;34032;BEZIERS                                           ;259;2416884;9660
ALPES-MARITIMES               ;6069;GRASSE                                            ;306;2416611;10465
GIRONDE                       ;33243;LIBOURNE                                          ;128;2415568;8587
HAUTE-GARONNE                 ;31555;TOULOUSE                                          ;2400;2415273;9265
DROME                         ;26198;MONTELIMAR                                        ;127;2414666;9188
ALLIER                        ;3190;MOULINS                                           ;58;2414406;9219
RHONE                         ;69282;MEYZIEU                                           ;98;2413352;10020
SEINE-MARITIME                ;76351;LE HAVRE                                          ;338;2412571;9937
VAL-D'OISE                    ;95500;PONTOISE                                          ;90;2411593;10236
PUY-DE-DOME                   ;63113;CLERMONT-FERRAND                                  ;449;2408774;10399
HAUTS-DE-SEINE                ;92014;BOURG LA REINE                                    ;417;2408738;10085
LA REUNION                    ;97416;SAINT PIERRE                                      ;148;2407854;8795
CANTAL                        ;15014;AURILLAC                                          ;104;2405547;10392
ALPES-MARITIMES               ;6004;ANTIBES                                           ;881;2404472;9904
AISNE                         ;2691;SAINT QUENTIN                                     ;156;2401143;9853
HAUTS-DE-SEINE                ;92019;CHATENAY MALABRY                                  ;275;2399126;9342
MORBIHAN                      ;56121;LORIENT                                           ;138;2398262;9161
HERAULT                       ;34172;MONTPELLIER                                       ;984;2397288;9981
ESSONNE                       ;91027;ATHIS MONS                                        ;62;2394788;10769
VAR                           ;83062;LA GARDE                                          ;99;2392501;9677
EURE-ET-LOIR                  ;28085;CHARTRES                                          ;253;2392468;9626
VAL-DE-MARNE                  ;94073;THIAIS                                            ;112;2387786;10361
NORD                          ;59295;HAZEBROUCK                                        ;85;2385611;10085
NORD                          ;59178;DOUAI                                             ;146;2384622;8930
PAS-DE-CALAIS                 ;62041;ARRAS                                             ;174;2382094;9602
PARIS                         ;75113;PARIS                                             ;1901;2380751;9252
FINISTERE                     ;29232;QUIMPER                                           ;206;2378003;9884
RHONE                         ;69286;RILLIEUX LA PAPE                                  ;92;2377644;8905
LOIRE                         ;42207;SAINT CHAMOND                                     ;72;2377475;10277
HAUTE-GARONNE                 ;31557;TOURNEFEUILLE                                     ;154;2375351;7940
SEINE-MARITIME                ;76540;ROUEN                                             ;497;2373708;9865
PARIS                         ;75119;PARIS                                             ;967;2373209;9000
MAINE-ET-LOIRE                ;49007;ANGERS                                            ;574;2371760;9327
HAUTE-SAVOIE                  ;74011;ANNECY-LE-VIEUX                                   ;357;2368834;8934
YVELINES                      ;78172;CONFLANS-SAINTE-HONORINE                          ;94;2368544;7195
ESSONNE                       ;91434;MORSANG SUR ORGE                                  ;74;2367635;9605
GUADELOUPE                    ;97113;LE GOSIER                                         ;75;2367107;8656
ALPES-DE-HAUTE-PROVENCE       ;4112;MANOSQUE                                          ;128;2362570;11026
VAR                           ;83118;SAINT-RAPHAEL                                     ;713;2361809;8847
CHARENTE                      ;16015;ANGOULEME                                         ;143;2360231;8480
HAUTS-DE-SEINE                ;92004;ASNIERES                                          ;707;2357190;9319
MORBIHAN                      ;56260;VANNES                                            ;416;2357117;8489
ESSONNE                       ;91114;BRUNOY                                            ;146;2356783;9680
YVELINES                      ;78490;PLAISIR                                           ;108;2355878;8694
BOUCHES-DU-RHONE              ;13028;LA CIOTAT                                         ;225;2354679;8615
DORDOGNE                      ;24322;PERIGUEUX                                         ;101;2352625;9694
GARD                          ;30189;NIMES                                             ;653;2352206;8944
VAL-D'OISE                    ;95306;HERBLAY                                           ;97;2351105;10210
PARIS                         ;75110;PARIS                                             ;877;2351034;8891
AUDE                          ;11262;NARBONNE                                          ;149;2346031;8639
RHONE                         ;69264;VILLEFRANCHE-SUR-SAONE                            ;99;2341720;8987
INDRE-ET-LOIRE                ;37122;JOUE LES TOURS                                    ;76;2340357;9640
LA REUNION                    ;97411;SAINT DENIS                                       ;474;2340341;9331
PARIS                         ;75112;PARIS                                             ;2177;2336802;9230
LOIRE-ATLANTIQUE              ;44114;ORVAULT                                           ;162;2336789;8263
PYRENEES-ATLANTIQUES          ;64024;ANGLET                                            ;340;2336698;8952
SEINE-ET-MARNE                ;77058;BUSSY ST GEORGES                                  ;62;2333404;8700
GIRONDE                       ;33318;PESSAC                                            ;215;2331404;8819
GIRONDE                       ;33529;LA TESTE DE BUCH                                  ;246;2330487;9720
VAL-DE-MARNE                  ;94017;CHAMPIGNY SUR MARNE                               ;145;2328709;9275
AVEYRON                       ;12202;RODEZ                                             ;129;2327176;9614
VOSGES                        ;88413;SAINT DIE DES VOSGES                              ;51;2326240;9558
GERS                          ;32013;AUCH                                              ;71;2324724;6678
COTES-D'ARMOR                 ;22278;SAINT-BRIEUC                                      ;171;2323422;8792
INDRE-ET-LOIRE                ;37261;TOURS                                             ;635;2322845;9057
SEINE-SAINT-DENIS             ;93048;MONTREUIL SOUS BOIS                               ;206;2320422;9201
VAL-DE-MARNE                  ;94058;LE PERREUX SUR MARNE                              ;408;2318909;9065
SOMME                         ;80001;ABBEVILLE                                         ;64;2318239;8448
BAS-RHIN                      ;67447;SCHILTIGHEIM                                      ;67;2318099;8089
VAL-DE-MARNE                  ;94034;FRESNES                                           ;53;2318012;8643
ALPES-MARITIMES               ;6079;MANDELIEU                                         ;333;2316263;9125
HAUTS-DE-SEINE                ;92025;COLOMBES                                          ;388;2311964;9273
VAL-DE-MARNE                  ;94076;VILLEJUIF                                         ;90;2308723;8024
